6.528191 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 5 not found 
6.528194 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:5
6.528198 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 5 not found 
6.528202 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:5
6.528210 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 6 not found 
6.528214 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:6
6.528221 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 6 not found 
6.528225 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:6
6.528229 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 6 not found 
6.528236 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:6
6.528240 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 7 not found 
6.528248 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:7
6.528252 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 7 not found 
6.528255 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:7
6.528263 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 7 not found 
6.528267 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:7
6.528275 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 8 not found 
6.528278 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:8
6.528286 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 8 not found 
6.528290 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:8
6.528294 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 8 not found 
6.528297 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:8
6.528305 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 9 not found 
6.528309 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:9
6.528316 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 9 not found 
6.528320 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:9
6.528324 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 9 not found 
6.528332 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:9
6.528336 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 10 not found 
6.528339 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:10
6.528347 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 10 not found 
6.528355 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:10
6.528358 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 10 not found 
6.528362 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:10
6.528370 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 11 not found 
6.528374 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:11
6.528381 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 11 not found 
6.528385 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:11
6.528389 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 11 not found 
6.528393 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:11
6.528400 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 12 not found 
