6.347279 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 4 not found 
6.347286 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:4
6.347290 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 4 not found 
6.347294 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:4
6.347301 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 5 not found 
6.347305 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:5
6.347313 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 5 not found 
6.347321 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:5
6.347324 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 5 not found 
6.347328 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:5
6.347336 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 6 not found 
6.347340 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:6
6.347347 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 6 not found 
6.347355 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:6
6.347359 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 6 not found 
6.347363 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:6
6.347370 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 7 not found 
6.347374 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:7
6.347385 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 7 not found 
6.347389 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:7
6.347393 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 7 not found 
6.347397 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:7
6.347404 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 8 not found 
