6.360588 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:7
6.360592 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 7 not found 
6.360596 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:7
6.360600 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 8 not found 
6.360607 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:8
6.360615 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 8 not found 
6.360619 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:8
6.360622 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 8 not found 
6.360626 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:8
6.360634 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 9 not found 
6.360638 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:9
6.360645 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 9 not found 
6.360649 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:9
6.360657 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 9 not found 
6.360661 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:9
6.360668 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 10 not found 
6.360672 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:10
6.360680 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 10 not found 
6.360683 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:10
6.360691 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 10 not found 
6.360695 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:10
6.360699 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 11 not found 
6.360706 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:11
6.360714 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 11 not found 
6.360718 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:11
6.360722 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 11 not found 
6.360725 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:11
6.360733 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 12 not found 
6.360737 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:12
6.360744 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 12 not found 
6.360748 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:12
6.360756 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 12 not found 
6.360760 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:12
6.360767 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 13 not found 
6.360771 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:13
6.360779 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 13 not found 
6.360783 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:13
6.360786 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 13 not found 
6.360794 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:13
6.360798 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 14 not found 
6.360802 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:14
6.360809 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 14 not found 
6.360817 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:14
6.360821 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 14 not found 
6.360825 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:14
6.360832 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 15 not found 
6.360836 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:15
6.360844 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 15 not found 
6.360847 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:15
6.360851 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 15 not found 
6.360859 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:15
6.360863 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 16 not found 
6.360867 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:16
6.360874 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 16 not found 
6.360882 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:16
6.360886 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 16 not found 
6.360889 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:16
6.360897 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 17 not found 
6.360901 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:17
6.360909 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 17 not found 
6.360912 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:17
6.360920 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 17 not found 
